Playlist ID,URI,Album,Song Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
35.0,1wJL1A0QUHJPf2cm7tsrdw,Speak Now,Never Grow Up,0.714,0.305,2.0,-8.837,1.0,0.0305,0.819,0.0,0.174,0.554,124.91,290467.0,4.0
36.0,10eBRyImhfqVvkiVEGf0N0,Speak Now,Enchanted,0.455,0.623,8.0,-3.878,1.0,0.0288,0.0739,0.000424,0.146,0.208,163.893,352187.0,4.0
37.0,2ythurkTtSiyfK7GprJoFW,Speak Now,Better Than Revenge,0.516,0.917,11.0,-3.186,0.0,0.0827,0.0139,6.37e-06,0.36,0.635,145.821,217160.0,4.0
38.0,5GPwN5iZ9ZMSXAkppj4Uvv,Speak Now,Innocent,0.552,0.608,1.0,-5.29,0.0,0.0259,0.186,0.0,0.125,0.17,134.05,302253.0,4.0
39.0,28M2gifMU282QBM3fKajIS,Speak Now,Haunted,0.436,0.95,5.0,-2.627,1.0,0.057,0.0826,1.08e-06,0.149,0.352,162.088,242080.0,4.0
40.0,4h0EXpatqJImv4VRgvX6po,Speak Now,Last Kiss,0.371,0.341,10.0,-9.475,1.0,0.0319,0.57,3.09e-05,0.101,0.196,89.038,367133.0,1.0
41.0,6XDBA3QWX51lDJ0oZbaJJN,Speak Now,Long Live,0.418,0.68,7.0,-4.3,1.0,0.0346,0.036,7.59e-05,0.108,0.142,204.125,317947.0,4.0
42.0,786NsUYn4GGUf8AOt0SQhP,Red,State Of Grace,0.588,0.825,4.0,-5.882,1.0,0.0328,0.000197,0.00138,0.0885,0.397,129.968,295187.0,4.0
43.0,0cITLOYn1Sv4q27zZPqlNK,Red,Red,0.602,0.896,1.0,-4.267,0.0,0.0437,0.0773,8.87e-05,0.091,0.641,124.978,220827.0,4.0
44.0,5kYFVSQoPu7yRpfiHBwMUk,Red,Treacherous,0.705,0.621,2.0,-8.086,1.0,0.0334,0.101,4.3e-06,0.147,0.395,109.993,240773.0,4.0
